,Unnamed: 0,owner_type,district,street,price,area,price_per_sqm,room_n,floor_ratio,floor_n,floor_total,year,nearest_kindergarten,nearest_school,nearest_shop,nearest_station,crime_last_month,h_aeroterminis,h_centrinis,h_centrinis kolektorinis,h_dujinis,h_elektra,h_geoterminis,h_kietu kuru,h_kita,b_Blokinis,b_Karkasinis,b_Kita,b_Medinis,b_Monolitinis,b_Mūrinis,b_Rąstinis,age,location,latitude,tier,longitude,t1,t2,t3,t4,t5,lon_scaled,lat_scaled,equip_state,equip_state_encoded
2271,2271,private, Naujamiestis, A. Vivulskio g.,145000,73.6,1970.108695652174,3,0.75,3,4,1958,160.0,200.0,20.0,80.0,9.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,63,"Vilnius, A. Vivulskio g.",54.678275199999995,tier2,25.2605362,0.0,1.0,0.0,0.0,0.0,0.0316535506146653,-0.2648527872772244,Įrengtas ,3
2272,2272,private, Žvėrynas, Sėlių g.,119000,43.4,2741.935483870968,1,0.5,2,4,2002,290.0,390.0,450.0,180.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,19,"Vilnius, Sėlių g.",54.699152000000005,tier1,25.244278899999998,1.0,0.0,0.0,0.0,0.0,-0.16070385143580526,0.08490047426784855,Įrengtas ,3
2273,2273,private, Lazdynėliai, Rūko g.,120000,75.0,1600.0,4,0.6666666666666666,2,3,2013,230.0,1400.0,1500.0,180.0,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,8,"Vilnius, Rūko g.",54.6611694,tier3,25.195275,0.0,0.0,1.0,0.0,0.0,-0.7405210962637795,-0.5514297215458777,Įrengtas ,3
2274,2274,private, Užupis, Aukštaičių g.,96947,30.96,3131.3630490956075,1,0.5,2,4,2021,450.0,390.0,410.0,250.0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"Vilnius, Aukštaičių g.",54.679044299999994,tier1,25.2959833,1.0,0.0,0.0,0.0,0.0,0.4510658802280238,-0.2519678991021134,Įrengtas ,3
2275,2275,private, Karoliniškės, Dariaus Gerbutavičiaus g.,102400,81.0,1264.1975308641975,4,0.4,2,5,1973,220.0,60.0,340.0,250.0,4.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,48,"Vilnius, Dariaus Gerbutavičiaus g.",54.6936548,tier3,25.210682000000002,0.0,0.0,1.0,0.0,0.0,-0.5582244976039994,-0.00719523146129268,Įrengtas ,3
2276,2276,private, Visoriai, Bajorų kel.,139500,77.85,1791.9075144508672,3,0.4545454545454545,5,11,2008,1100.0,1200.0,230.0,170.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,13,"Vilnius, Bajorų kel.",54.762288600000005,tier2,25.2537472,0.0,1.0,0.0,0.0,0.0,-0.04867432686320188,1.1426407300958723,Įrengtas ,3
2277,2277,private, Naujamiestis, Algirdo g.,90000,42.0,2142.8571428571427,2,0.25,1,4,1969,100.0,100.0,160.0,240.0,11.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,52,"Vilnius, Algirdo g.",54.6687669,tier2,25.2741079,0.0,1.0,0.0,0.0,0.0,0.192234763571826,-0.4241472642444647,Dalinė apdaila ,2
2278,2278,private, Pilaitė, Tolminkiemio g.,71000,50.0,1420.0,2,0.8,4,5,1998,260.0,310.0,310.0,180.0,7.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,23,"Vilnius, Tolminkiemio g.",54.7127439,tier3,25.179821,0.0,0.0,1.0,0.0,0.0,-0.9233738018968022,0.3126083296669444,Įrengtas ,3
2279,2279,private, Pilaitė, Karaliaučiaus g.,120000,59.27,2024.6330352623584,3,0.5,1,2,2018,440.0,240.0,380.0,190.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,"Vilnius, Karaliaučiaus g.",54.70352,tier3,25.1737393,0.0,0.0,1.0,0.0,0.0,-0.9953328610302532,0.15807846353962218,Dalinė apdaila ,2
2280,2280,private, Naujininkai, Kapsų g.,99500,71.0,1401.4084507042248,3,0.2,2,10,1978,250.0,270.0,110.0,370.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,43,"Vilnius, Kapsų g.",54.660633700000005,tier4,25.27965,0.0,0.0,0.0,1.0,0.0,0.2578092413697297,-0.5604044122173337,Įrengtas ,3
2281,2281,private, Fabijoniškės, Salomėjos Nėries g.,71000,55.0,1290.909090909091,2,0.08333333333333333,1,12,2008,450.0,980.0,390.0,50.0,4.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,13,"Vilnius, Salomėjos Nėries g.",54.7430785,tier4,25.226373199999998,0.0,0.0,0.0,1.0,0.0,-0.3725652265654532,0.8208100314444284,Įrengtas ,3
2282,2282,private, Senamiestis, Paupio g.,79000,37.55,2103.8615179760322,2,0.5,2,4,1960,360.0,190.0,520.0,130.0,6.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,61,"Vilnius, Paupio g.",54.6792343,tier1,25.2979468,1.0,0.0,0.0,0.0,0.0,0.4742981364406702,-0.24878479059447325,Įrengtas ,3
2283,2283,private, Žirmūnai, Tuskulėnų g.,120000,61.0,1967.2131147540986,3,0.4,2,5,2006,90.0,160.0,370.0,220.0,9.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,15,"Vilnius, Tuskulėnų g.",54.7001019,tier2,25.2932378,0.0,1.0,0.0,0.0,0.0,0.41858095054538813,0.10081434148611973,Įrengtas ,3
2284,2284,private, Antakalnis, Švyturio g.,182828,103.0,1775.0291262135922,4,1.0,5,5,1980,380.0,480.0,240.0,290.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,41,"Vilnius, Švyturio g.",54.71352589999999,tier2,25.3185579,0.0,1.0,0.0,0.0,0.0,0.7181699755161981,0.3257093341565514,Įrengtas ,3
2285,2285,private, Užupis, Krivių g.,390000,97.0,4020.6185567010307,4,1.0,5,5,2007,280.0,70.0,530.0,140.0,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,14,"Vilnius, Krivių g.",54.6844863,tier1,25.303750199999996,1.0,0.0,0.0,0.0,0.0,0.5429643323686529,-0.16079697016044725,Įrengtas ,3
2286,2286,private, Pašilaičiai, Eitminų g.,127000,80.0,1587.5,3,0.7777777777777778,7,9,2011,60.0,100.0,220.0,100.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10,"Vilnius, Eitminų g.",54.740877100000006,tier3,25.2216,0.0,0.0,1.0,0.0,0.0,-0.4290420309221306,0.7839295310819734,Dalinė apdaila ,2
2287,2287,private, Senamiestis, Aukštaičių g.,272550,69.19,3939.153056800116,3,0.6,3,5,2020,280.0,300.0,490.0,210.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"Vilnius, Aukštaičių g.",54.679044299999994,tier1,25.2959833,1.0,0.0,0.0,0.0,0.0,0.4510658802280238,-0.2519678991021134,Įrengtas ,3
2288,2288,private, Antakalnis, Šilo g.,125000,57.39,2178.079804844049,2,1.0,5,5,2003,250.0,70.0,200.0,570.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,18,"Vilnius, Šilo g.",54.705041599999994,tier2,25.3103905,0.0,1.0,0.0,0.0,0.0,0.6215327820396278,0.18357013672557024,Įrengtas ,3
