,title,price,area,room_n,floor_n,floor_total,year,building_type,heating_type,equip_state,nearest_kindergarten,nearest_school,nearest_shop,nearest_station,crime_last_month,owner_type,district,street
1507,"Vilnius, Naujininkai, Panevėžio g., 2 kambarių butas",84 500 ,54 ,2,3,4,2020,Monolitinis,"Elektra, kita",Dalinė apdaila ,190,140,220,190,8.0,company, Naujininkai, Panevėžio g.
1508,"Vilnius, Senamiestis, Didžioji g., 1 kambario butas",122 000 ,31 ,1,3,4,1940,Mūrinis,Centrinis,Įrengtas ,440,180,180,280,9.0,company, Senamiestis, Didžioji g.
1509,"Vilnius, Viršuliškės, Viršuliškių g., 2 kambarių butas",78 000 ,"42,65 ",2,3,11,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,280,500,160,90,5.0,company, Viršuliškės, Viršuliškių g.
1510,"Vilnius, Karoliniškės, Vytauto Vaitkaus g., 2 kambarių butas",67 000 ,68 ,2,1,12,1987,Blokinis,Elektra,Įrengtas ,120,250,640,210,3.0,company, Karoliniškės, Vytauto Vaitkaus g.
1511,"Vilnius, Justiniškės, Rygos g., 1 kambario butas",52 000 ,"35,48 ",1,5,5,1983,Blokinis,Centrinis kolektorinis,Įrengtas ,310,250,60,120,5.0,company, Justiniškės, Rygos g.
1512,"Vilnius, Naujamiestis, Kauno g., 3 kambarių butas",123 000 ,67 ,3,1,1,1940,Medinis,Dujinis,Įrengtas ,510,490,180,60,7.0,company, Naujamiestis, Kauno g.
1513,"Vilnius, Pašilaičiai, Leičių g., 2 kambarių butas",85 000 ,48 ,2,2,2,2019,Mūrinis,Centrinis kolektorinis,Įrengtas ,250,830,300,130,4.0,company, Pašilaičiai, Leičių g.
1514,"Vilnius, Žvėrynas, Latvių g., 2 kambarių butas",134 964 ,"45,29 ",2,6,6,2001,Mūrinis,Elektra,Įrengtas ,140,310,180,100,5.0,company, Žvėrynas, Latvių g.
1515,"Vilnius, Užupis, Olandų g., 1 kambario butas",79 000 ,31 ,1,2,5,2020,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,320,240,140,40,3.0,company, Užupis, Olandų g.
1516,"Vilnius, Senamiestis, Kėdainių g., 4 kambarių butas",599 130 ,"133,14 ",4,2,3,2019,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,60,290,50,140,11.0,company, Senamiestis, Kėdainių g.
1517,"Vilnius, Senamiestis, Kėdainių g., 3 kambarių butas",190 122 ,"59,41 ",3,1,1,2019,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,60,290,50,140,11.0,company, Senamiestis, Kėdainių g.
1518,"Vilnius, Lazdynėliai, Jonažolių g., 1 kambario butas",65 000 ,"34,3 ",1,3,7,2009,Mūrinis,Centrinis kolektorinis,Įrengtas ,460,720,240,220,5.0,company, Lazdynėliai, Jonažolių g.
1519,"Vilnius, Naujamiestis, S. Konarskio g., 5 kambarių butas",179 000 ,"120,9 ",5,3,5,1994,Mūrinis,Centrinis,Įrengtas ,340,410,390,270,5.0,company, Naujamiestis, S. Konarskio g.
1520,"Vilnius, Balsiai, Želmenų g., 4 kambarių butas",99 000 ,94 ,4,1,1,2019,Mūrinis,Dujinis,Dalinė apdaila ,"1,8k","2,5k",230,130,0.0,company, Balsiai, Želmenų g.
1521,"Vilnius, Senamiestis, Pylimo g., 2 kambarių butas",146 000 ,38 ,2,2,3,2015,Mūrinis,Centrinis kolektorinis,Įrengtas ,210,40,270,140,15.0,company, Senamiestis, Pylimo g.
1522,"Vilnius, Žvėrynas, Danielių g., 2 kambarių butas",275 000 ,87 ,2,4,5,2015,Mūrinis,Centrinis kolektorinis,Įrengtas ,290,300,130,80,5.0,company, Žvėrynas, Danielių g.
1523,"Vilnius, Fabijoniškės, Salomėjos Nėries g., 3 kambarių butas",71 900 ,"67,37 ",3,5,5,1990,Blokinis,Centrinis,Įrengtas ,260,280,210,160,6.0,company, Fabijoniškės, Salomėjos Nėries g.
1524,"Vilnius, Žvėrynas, Lokių g., 3 kambarių butas",240 000 ,"82,73 ",3,2,3,2009,Mūrinis,Centrinis kolektorinis,Įrengtas ,310,370,200,140,4.0,company, Žvėrynas, Lokių g.
1525,"Vilnius, Naujamiestis, Smolensko g., 2 kambarių butas",177 000 ,"62,44 ",2,7,10,2008,Mūrinis,Centrinis kolektorinis,Įrengtas ,140,200,180,150,7.0,company, Naujamiestis, Smolensko g.
1526,"Vilnius, Antakalnis, Klinikų g., 3 kambarių butas",125 000 ,72 ,3,4,5,2008,Mūrinis,Dujinis,Dalinė apdaila ,270,390,200,330,1.0,company, Antakalnis, Klinikų g.
1527,"Vilnius, Žirmūnai, Kalvarijų g., 1 kambario butas",57 500 ,33 ,1,2,5,1968,Blokinis,Centrinis,Įrengtas ,110,330,210,170,3.0,company, Žirmūnai, Kalvarijų g.
1528,"Vilnius, Antakalnis, V. Grybo g., 2 kambarių butas",144 944 ,"57,73 ",2,8,10,2005,Mūrinis,Centrinis,Įrengtas ,160,310,290,350,0.0,company, Antakalnis, V. Grybo g.
1529,"Vilnius, Naujamiestis, Muitinės g., 2 kambarių butas",55 450 ,45 ,2,1,5,1974,Mūrinis,Centrinis,Įrengtas ,130,360,320,180,11.0,company, Naujamiestis, Muitinės g.
1530,"Vilnius, Justiniškės, Taikos g., 3 kambarių butas",107 000 ,66 ,3,3,5,2000,Mūrinis,Centrinis kolektorinis,Įrengtas ,200,390,100,40,2.0,company, Justiniškės, Taikos g.
1531,"Vilnius, Viršuliškės, Viršuliškių g., 3 kambarių butas",64 000 ,64 ,3,9,9,1977,Blokinis,Centrinis,Neįrengtas ,170,310,340,210,5.0,company, Viršuliškės, Viršuliškių g.
1532,"Vilnius, Senamiestis, Lydos g., 2 kambarių butas",135 900 ,35 ,2,1,3,2018,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,60,290,50,140,11.0,company, Senamiestis, Lydos g.
1533,"Vilnius, Senamiestis, M. K. Čiurlionio g., 4 kambarių butas",870 000 ,197 ,4,6,7,2004,Mūrinis,Centrinis kolektorinis,Įrengtas ,20,410,300,600,0.0,company, Senamiestis, M. K. Čiurlionio g.
1534,"Vilnius, Lazdynėliai, Bukčių g., 2 kambarių butas",69 070 ,"40,46 ",2,2,5,2020,Mūrinis,Centrinis,Dalinė apdaila ,450,870,200,50,2.0,company, Lazdynėliai, Bukčių g.
1535,"Vilnius, Lazdynėliai, Bukčių g., 3 kambarių butas",102 230 ,"62,71 ",3,2,5,2020,Mūrinis,Centrinis,Dalinė apdaila ,450,870,200,50,2.0,company, Lazdynėliai, Bukčių g.
